Agent_ID,Region,NSE,Age,Gender,MBTI,VotoIntención,VotoBronca,InseguridadFocus,Volátil
PREDIK-PE-0467,Costa,Bajo,48,Masculino,ENFJ,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0742,Sierra,Bajo,38,Masculino,ESTP,Candidato A (Populista / Anti-Sistema),False,True,False
PREDIK-PE-0847,Selva,Bajo,71,Femenino,ENFP,Candidato C (Izquierda Social),False,False,False
PREDIK-PE-0922,Selva,Bajo,25,Masculino,ISFP,Candidato A (Populista / Anti-Sistema),True,True,False
PREDIK-PE-0408,Costa,Bajo,59,Femenino,ESFP,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0142,Lima,Medio,47,Masculino,ESFP,Indeciso — Voto Volátil,True,False,False
PREDIK-PE-0713,Sierra,Medio,41,Masculino,ENTP,Voto Blanco / Nulo,False,True,False
PREDIK-PE-0550,Costa,Bajo,60,Femenino,ENFP,Candidato D (Centroderecha Tecnocrática),False,True,False
PREDIK-PE-0337,Lima,Medio,18,Masculino,ISFP,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0932,Selva,Medio,22,Masculino,INFJ,Candidato D (Centroderecha Tecnocrática),False,True,False
PREDIK-PE-0562,Sierra,Medio,35,Femenino,INFP,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0591,Sierra,Bajo,61,Femenino,INFJ,Candidato A (Populista / Anti-Sistema),True,False,False
PREDIK-PE-0935,Selva,Medio,48,Masculino,ENFJ,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0700,Sierra,Medio,60,Femenino,ESTP,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0646,Sierra,Medio,72,Femenino,ESFP,Indeciso — Voto Volátil,False,True,False
PREDIK-PE-0299,Lima,Medio,26,Masculino,INTP,Candidato D (Centroderecha Tecnocrática),True,True,False
PREDIK-PE-0980,Selva,Bajo,48,Masculino,ISFP,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0530,Costa,Medio-Alto,61,No Binario,ENFP,Candidato A (Populista / Anti-Sistema),True,True,False
PREDIK-PE-0278,Lima,Medio,21,Femenino,ENTJ,Candidato A (Populista / Anti-Sistema),False,False,False
PREDIK-PE-0402,Costa,Bajo,40,Femenino,ENFP,Candidato C (Izquierda Social),False,True,False
PREDIK-PE-0835,Selva,Medio,69,Femenino,ENTJ,Candidato D (Centroderecha Tecnocrática),False,True,False
PREDIK-PE-0951,Selva,Bajo,58,Femenino,ENFJ,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0094,Lima,Medio-Alto,44,Masculino,ESFP,Voto Blanco / Nulo,True,True,False
PREDIK-PE-0869,Selva,Bajo,25,Masculino,INTP,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0911,Selva,Bajo,51,Masculino,INFJ,Candidato C (Izquierda Social),True,True,False
PREDIK-PE-0461,Costa,Medio,31,Masculino,INFP,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0314,Lima,Bajo,36,Femenino,INTJ,Indeciso — Voto Volátil,False,False,True
