============================================================
  PREDIKPEDIA -- R-ASISTENCIA LIMPIA / FILTRADO DE INDECISOS
============================================================
[OK] Archivo cargado: 1000 agentes totales
     Columnas: ['ID', 'Region', 'MBTI', 'Veredicto', 'Confianza', 'Volátil', 'R1', 'R2', 'R3']

-- Distribucion original de Veredictos --
  Indeciso                                 829
  Keiko Fujimori                           149
  Rafael López Aliaga                      17
  Voto en Blanco / Nulo                    2
  OTRO CANDIDATO                           2
  Jorge Nieto                              1

[PASO 1] Indecisos identificados: 829
[INFO] Agentes ya decididos (no Indecisos): 171

[OK] Motor LLM activo -> modo: OPENROUTER
[PASO 2] Ejecutando R-Asistencia para 829 indecisos...

  [0001/829] PREDIK-PE-0734 (Lima) -> ACTIVO: Indeciso Activo
  [0002/829] PREDIK-PE-0030 (Lima) -> ACTIVO: Indeciso Activo
  [0003/829] PREDIK-PE-0578 (Lima) -> ACTIVO: Indeciso Activo
  [0004/829] PREDIK-PE-0331 (Lima) -> ACTIVO: Indeciso Activo
  [0005/829] PREDIK-PE-0464 (Lima) -> ACTIVO: Indeciso Activo
  [0006/829] PREDIK-PE-0842 (Lima) -> ACTIVO: Indeciso Activo
  [0007/829] PREDIK-PE-0202 (Lima) -> ACTIVO: Indeciso Activo
  [0008/829] PREDIK-PE-0240 (Lima) -> ACTIVO: Indeciso Activo
  [0009/829] PREDIK-PE-0636 (Lima) -> ACTIVO: Indeciso Activo
  [0010/829] PREDIK-PE-0589 (Lima) -> ACTIVO: Indeciso Activo
  [0011/829] PREDIK-PE-0556 (Lima) -> ACTIVO: Indeciso Activo
  [0012/829] PREDIK-PE-0171 (Lima) -> ACTIVO: Indeciso Activo
  [0013/829] PREDIK-PE-0351 (Lima) -> ACTIVO: Indeciso Activo
  [0014/829] PREDIK-PE-0321 (Lima) -> ACTIVO: Indeciso Activo
  [0015/829] PREDIK-PE-0215 (Lima) -> ACTIVO: Indeciso Activo
  [0016/829] PREDIK-PE-0043 (Lima) -> ACTIVO: Indeciso Activo
  [0017/829] PREDIK-PE-0998 (Lima) -> ACTIVO: Indeciso Activo
  [0018/829] PREDIK-PE-0055 (Lima) -> ACTIVO: Indeciso Activo
  [0019/829] PREDIK-PE-0169 (Lima) -> ACTIVO: Indeciso Activo
  [0020/829] PREDIK-PE-0981 (Lima) -> ACTIVO: Indeciso Activo
  [0021/829] PREDIK-PE-0579 (Lima) -> ACTIVO: Indeciso Activo
  [0022/829] PREDIK-PE-0006 (Lima) -> ACTIVO: Indeciso Activo
  [0023/829] PREDIK-PE-0003 (Lima) -> ACTIVO: Indeciso Activo
  [0024/829] PREDIK-PE-0212 (Lima) -> ACTIVO: Indeciso Activo
  [0025/829] PREDIK-PE-0961 (Lima) -> ACTIVO: Indeciso Activo
           [CKP] Checkpoint guardado (25 procesados)
  [0026/829] PREDIK-PE-0316 (Lima) -> ACTIVO: Indeciso Activo
  [0027/829] PREDIK-PE-0950 (Lima) -> ACTIVO: Indeciso Activo
  [0028/829] PREDIK-PE-0845 (Lima) -> ACTIVO: Indeciso Activo
  [0029/829] PREDIK-PE-0345 (Lima) -> ACTIVO: Indeciso Activo
  [0030/829] PREDIK-PE-0203 (Lima) -> ACTIVO: Indeciso Activo
  [0031/829] PREDIK-PE-0280 (Lima) -> ACTIVO: Indeciso Activo
  [0032/829] PREDIK-PE-0572 (Lima) -> ACTIVO: Indeciso Activo
  [0033/829] PREDIK-PE-0371 (Lima) -> ACTIVO: Indeciso Activo
  [0034/829] PREDIK-PE-0758 (Lima) -> ACTIVO: Indeciso Activo
  [0035/829] PREDIK-PE-0221 (Lima) -> ACTIVO: Indeciso Activo
  [0036/829] PREDIK-PE-0245 (Lima) -> ACTIVO: Indeciso Activo
  [0037/829] PREDIK-PE-0946 (Lima) -> ACTIVO: Indeciso Activo
  [0038/829] PREDIK-PE-0355 (Lima) -> ACTIVO: Indeciso Activo
  [0039/829] PREDIK-PE-0873 (Lima) -> ACTIVO: Indeciso Activo
  [0040/829] PREDIK-PE-0615 (Lima) -> ACTIVO: Indeciso Activo
  [0041/829] PREDIK-PE-0368 (Lima) -> ACTIVO: Indeciso Activo
  [0042/829] PREDIK-PE-0312 (Lima) -> ACTIVO: Indeciso Activo
  [0043/829] PREDIK-PE-0252 (Lima) -> ACTIVO: Indeciso Activo
  [0044/829] PREDIK-PE-0480 (Lima) -> ACTIVO: Indeciso Activo
  [0045/829] PREDIK-PE-0688 (Lima) -> ACTIVO: Indeciso Activo
  [0046/829] PREDIK-PE-0552 (Lima) -> ACTIVO: Indeciso Activo
  [0047/829] PREDIK-PE-0343 (Lima) -> ACTIVO: Indeciso Activo
  [0048/829] PREDIK-PE-0031 (Lima) -> ACTIVO: Indeciso Activo
  [0049/829] PREDIK-PE-0519 (Lima) -> ACTIVO: Indeciso Activo
  [0050/829] PREDIK-PE-0829 (Lima) -> ACTIVO: Indeciso Activo
           [CKP] Checkpoint guardado (50 procesados)
  [0051/829] PREDIK-PE-0404 (Lima) -> ACTIVO: Indeciso Activo
  [0052/829] PREDIK-PE-0717 (Lima) -> ACTIVO: Indeciso Activo
  [0053/829] PREDIK-PE-0610 (Lima) -> ACTIVO: Indeciso Activo
  [0054/829] PREDIK-PE-0149 (Lima) -> ACTIVO: Indeciso Activo
  [0055/829] PREDIK-PE-0604 (Lima) -> ACTIVO: Indeciso Activo
  [0056/829] PREDIK-PE-0830 (Lima) -> ACTIVO: Indeciso Activo
  [0057/829] PREDIK-PE-0107 (Lima) -> ACTIVO: Indeciso Activo
  [0058/829] PREDIK-PE-0769 (Lima) -> ACTIVO: Indeciso Activo
  [0059/829] PREDIK-PE-0275 (Lima) -> ACTIVO: Indeciso Activo
  [0060/829] PREDIK-PE-0401 (Lima) -> ACTIVO: Indeciso Activo
  [0061/829] PREDIK-PE-0062 (Lima) -> ACTIVO: Indeciso Activo
  [0062/829] PREDIK-PE-0647 (Lima) -> ACTIVO: Indeciso Activo
  [0063/829] PREDIK-PE-0507 (Lima) -> ACTIVO: Indeciso Activo
  [0064/829] PREDIK-PE-0651 (Lima) -> ACTIVO: Indeciso Activo
  [0065/829] PREDIK-PE-0974 (Lima) -> ACTIVO: Indeciso Activo
  [0066/829] PREDIK-PE-0104 (Lima) -> ACTIVO: Indeciso Activo
  [0067/829] PREDIK-PE-0437 (Lima) -> ACTIVO: Indeciso Activo
  [0068/829] PREDIK-PE-0913 (Lima) -> ACTIVO: Indeciso Activo
  [0069/829] PREDIK-PE-0804 (Lima) -> ACTIVO: Indeciso Activo
