Agent_ID,Geo,NSE,Age,Sit_Personal,Bienes_Durables,Sit_Pais
Agent_0001,CABA,D/E,28,Positiva,Negativa,Negativa
Agent_0002,Interior,D/E,58,Negativa,Negativa,Neutral
Agent_0003,Interior,D/E,35,Negativa,Negativa,Negativa
Agent_0004,Interior,D/E,84,Positiva,Negativa,Negativa
Agent_0005,Interior,D/E,35,Positiva,Positiva,Negativa
Agent_0006,CABA,ABC1,82,Negativa,Neutral,Negativa
Agent_0007,Interior,ABC1,30,Positiva,Negativa,Negativa
Agent_0008,Interior,ABC1,69,Positiva,Neutral,Neutral
Agent_0009,GBA,D/E,25,Negativa,Negativa,Negativa
Agent_0010,Interior,D/E,21,Neutral,Negativa,Negativa
Agent_0011,GBA,D/E,42,Neutral,Negativa,Negativa
Agent_0012,GBA,C2,45,Neutral,Neutral,Negativa
Agent_0013,CABA,C3,70,Positiva,Negativa,Positiva
Agent_0014,Interior,D/E,30,Negativa,Negativa,Positiva
Agent_0015,Interior,C2,28,Positiva,Negativa,Neutral
Agent_0016,CABA,C3,76,Positiva,Negativa,Positiva
Agent_0017,GBA,D/E,25,Negativa,Neutral,Negativa
Agent_0018,Interior,ABC1,38,Neutral,Negativa,Positiva
Agent_0019,CABA,C2,52,Positiva,Neutral,Negativa
Agent_0020,CABA,C3,32,Positiva,Negativa,Negativa
Agent_0021,GBA,ABC1,72,Positiva,Negativa,Neutral
Agent_0022,GBA,C3,43,Positiva,Neutral,Neutral
Agent_0023,GBA,ABC1,62,Negativa,Positiva,Positiva
Agent_0024,CABA,C2,23,Neutral,Negativa,Positiva
Agent_0025,Interior,D/E,58,Negativa,Negativa,Positiva
Agent_0026,CABA,C3,44,Positiva,Positiva,Negativa
Agent_0027,GBA,ABC1,21,Positiva,Negativa,Neutral
Agent_0028,Interior,C3,53,Negativa,Neutral,Neutral
Agent_0029,Interior,D/E,25,Neutral,Negativa,Neutral
Agent_0030,CABA,D/E,55,Negativa,Neutral,Neutral
Agent_0031,Interior,D/E,63,Negativa,Negativa,Neutral
Agent_0032,GBA,D/E,22,Negativa,Negativa,Negativa
Agent_0033,CABA,C3,19,Negativa,Neutral,Negativa
Agent_0034,CABA,D/E,75,Negativa,Negativa,Negativa
Agent_0035,Interior,C3,81,Neutral,Negativa,Neutral
Agent_0036,CABA,ABC1,59,Positiva,Neutral,Negativa
Agent_0037,Interior,C2,33,Negativa,Negativa,Positiva
Agent_0038,Interior,ABC1,61,Positiva,Neutral,Positiva
Agent_0039,CABA,C3,64,Negativa,Negativa,Neutral
Agent_0040,Interior,C2,47,Positiva,Positiva,Negativa
Agent_0041,Interior,D/E,42,Negativa,Negativa,Negativa
Agent_0042,Interior,ABC1,71,Negativa,Positiva,Negativa
Agent_0043,GBA,D/E,27,Negativa,Negativa,Negativa
Agent_0044,CABA,C3,36,Neutral,Neutral,Positiva
Agent_0045,Interior,ABC1,41,Positiva,Negativa,Positiva
Agent_0046,GBA,C3,69,Positiva,Negativa,Positiva
Agent_0047,Interior,ABC1,38,Negativa,Neutral,Positiva
Agent_0048,GBA,C3,78,Positiva,Positiva,Negativa
