Agent_ID,Profile,Socioeconomic,Tech_Adoption,Openness_O,Consc_C,Extra_E,Agree_A,Neuro_N
Agent_002,Dueños Tienda (1k+ envíos),Bajo,0.79,0.75,0.14,0.55,0.69,0.22
Agent_046,Consultores MeLi,Medio,0.96,0.94,0.53,0.12,0.22,0.25
Agent_001,Dueños Tienda (1k+ envíos),Alto,0.9,0.86,0.2,0.65,0.56,0.11
Agent_025,Dueños Tienda (1k+ envíos),Bajo,0.3,0.67,0.21,0.24,0.37,0.41
Agent_006,Dueños Tienda (1k+ envíos),Medio,0.41,0.22,0.63,0.23,0.48,0.41
Agent_004,Dueños Tienda (1k+ envíos),Bajo,0.06,0.33,0.73,0.44,0.78,0.66
Agent_031,Encargados de Depósito,Bajo,0.94,0.77,0.52,0.61,0.71,0.28
Agent_005,Dueños Tienda (1k+ envíos),Bajo,0.69,0.59,0.52,0.89,0.76,0.17
Agent_011,Dueños Tienda (1k+ envíos),Alto,0.1,0.17,0.35,0.44,0.33,0.78
Agent_037,Encargados de Depósito,Bajo,0.1,0.56,0.48,0.46,0.53,0.63
Agent_007,Dueños Tienda (1k+ envíos),Medio,0.04,0.15,0.52,0.26,0.74,0.22
Agent_041,Encargados de Depósito,Medio,0.68,0.58,0.73,0.34,0.74,0.28
Agent_036,Encargados de Depósito,Bajo,0.29,0.15,0.13,0.22,0.35,0.54
Agent_017,Dueños Tienda (1k+ envíos),Alto,0.91,0.87,0.22,0.23,0.88,0.89
Agent_018,Dueños Tienda (1k+ envíos),Bajo,0.56,0.1,0.9,0.84,0.51,0.59
Agent_039,Encargados de Depósito,Bajo,0.83,0.83,0.46,0.25,0.79,0.69
Agent_015,Dueños Tienda (1k+ envíos),Medio,0.16,0.78,0.71,0.62,0.63,0.65
Agent_032,Encargados de Depósito,Medio,0.41,0.28,0.35,0.81,0.82,0.74
Agent_044,Encargados de Depósito,Medio,0.24,0.25,0.67,0.27,0.56,0.62
Agent_012,Dueños Tienda (1k+ envíos),Medio,0.87,0.82,0.44,0.29,0.75,0.54
Agent_014,Dueños Tienda (1k+ envíos),Alto,0.35,0.6,0.85,0.57,0.4,0.58
Agent_049,Consultores MeLi,Alto,0.13,0.18,0.5,0.64,0.53,0.85
Agent_024,Dueños Tienda (1k+ envíos),Bajo,0.58,0.14,0.81,0.48,0.36,0.24
Agent_030,Dueños Tienda (1k+ envíos),Medio,0.56,0.26,0.52,0.58,0.45,0.14
Agent_013,Dueños Tienda (1k+ envíos),Medio,0.75,0.84,0.8,0.58,0.76,0.32
Agent_035,Encargados de Depósito,Bajo,0.16,0.19,0.88,0.2,0.85,0.79
Agent_048,Consultores MeLi,Bajo,0.97,0.71,0.49,0.26,0.59,0.9
Agent_026,Dueños Tienda (1k+ envíos),Bajo,0.82,0.86,0.29,0.28,0.82,0.73
Agent_043,Encargados de Depósito,Medio,0.88,0.88,0.38,0.5,0.48,0.2
Agent_016,Dueños Tienda (1k+ envíos),Medio,0.12,0.62,0.76,0.21,0.83,0.39
Agent_003,Dueños Tienda (1k+ envíos),Medio,0.52,0.22,0.37,0.18,0.34,0.14
Agent_022,Dueños Tienda (1k+ envíos),Bajo,0.44,0.84,0.38,0.35,0.77,0.64
Agent_009,Dueños Tienda (1k+ envíos),Alto,0.88,0.65,0.4,0.26,0.62,0.85
Agent_019,Dueños Tienda (1k+ envíos),Medio,0.09,0.44,0.28,0.68,0.75,0.31
Agent_010,Dueños Tienda (1k+ envíos),Bajo,0.87,0.83,0.5,0.24,0.77,0.42
Agent_038,Encargados de Depósito,Bajo,0.59,0.63,0.25,0.8,0.23,0.66
Agent_050,Consultores MeLi,Medio,0.31,0.28,0.21,0.3,0.42,0.67
Agent_034,Encargados de Depósito,Medio,0.96,0.82,0.33,0.9,0.68,0.38
Agent_047,Consultores MeLi,Medio,0.89,0.99,0.63,0.39,0.3,0.37
Agent_027,Dueños Tienda (1k+ envíos),Bajo,0.46,0.24,0.53,0.67,0.37,0.72
Agent_029,Dueños Tienda (1k+ envíos),Bajo,0.43,0.87,0.78,0.32,0.49,0.26
Agent_028,Dueños Tienda (1k+ envíos),Medio,0.83,0.89,0.11,0.46,0.76,0.67
Agent_023,Dueños Tienda (1k+ envíos),Bajo,0.02,0.53,0.13,0.83,0.11,0.77
Agent_040,Encargados de Depósito,Medio,0.8,0.87,0.52,0.11,0.68,0.64
Agent_020,Dueños Tienda (1k+ envíos),Alto,0.74,0.85,0.49,0.85,0.77,0.42
Agent_021,Dueños Tienda (1k+ envíos),Alto,0.4,0.84,0.15,0.45,0.87,0.62
Agent_042,Encargados de Depósito,Alto,0.99,0.92,0.8,0.33,0.65,0.73
Agent_033,Encargados de Depósito,Bajo,0.54,0.83,0.46,0.35,0.3,0.88
Agent_008,Dueños Tienda (1k+ envíos),Alto,0.31,0.87,0.88,0.22,0.4,0.24
Agent_045,Encargados de Depósito,Alto,0.52,0.74,0.59,0.8,0.37,0.27
