Agent_ID,NSE,Geo,Age,Problema_Principal,Voto
OP_0001,D/E,AR,26,Desempleo,Milei
OP_0002,C3,AR,50,Desempleo,Milei
OP_0003,D/E,AR,37,Pobreza,Milei
OP_0004,D/E,AR,38,Pobreza,Milei
OP_0005,C3,AR,59,Pobreza,Milei
OP_0006,C2,AR,43,Inflación,Milei
OP_0007,D/E,AR,45,Pobreza,Milei
OP_0008,C3,AR,26,Desempleo,Milei
OP_0009,D/E,AR,41,Desempleo,Milei
OP_0010,C2,AR,50,Pobreza,Milei
OP_0011,D/E,AR,26,Pobreza,Milei
OP_0012,C3,AR,54,Pobreza,Milei
OP_0013,D/E,AR,57,Pobreza,Milei
OP_0014,C2,AR,26,Desempleo,Milei
OP_0015,D/E,AR,57,Inflación,Milei
OP_0016,C3,AR,43,Pobreza,Milei
OP_0017,C3,AR,38,Desempleo,Milei
OP_0018,D/E,AR,34,Desempleo,Milei
OP_0019,D/E,AR,34,Pobreza,Milei
OP_0020,C3,AR,35,Pobreza,Milei
